SDSS_ID,theta_e_sie,theta_e_ltm
J0008−0004,1.16,1.14
J0029−0055,0.96,0.95
J0037−0942,1.53,1.52
J0044+0113,0.79,0.76
J0109+1500,0.69,0.68
J0157−0056,0.79,0.67
J0216−0813,1.16,1.15
J0252+0039,1.04,1.03
J0330−0020,1.10,1.04
J0405−0455,0.80,0.79
J0728+3835,1.25,1.25
J0737+3216,1.00,0.97
J0822+2652,1.17,1.14
J0841+3824,1.41,1.36
J0903+4116,1.29,1.27
J0912+0029,1.63,1.62
J0935−0003,0.87,0.81
J0936+0913,1.09,1.09
J0946+1006,1.38,1.39
J0955+0101,0.91,1.03
J0956+5100,1.33,1.30
J0959+4416,0.96,0.96
J0959+0410,0.99,1.01
J1016+3859,1.09,1.06
J1020+1122,1.20,1.21
J1023+4230,1.41,1.40
J1029+0420,1.01,1.10
J1032+5322,1.03,1.12
J1100+5329,1.52,1.43
J1103+5322,1.02,1.04
J1106+5228,1.23,1.23
J1112+0826,1.49,1.37
J1134+6027,1.10,0.88
J1142+1001,0.98,0.92
J1143−0144,1.68,1.66
J1153+4612,1.05,1.05
J1204+0358,1.31,1.27
J1205+4910,1.22,1.20
J1213+6708,1.42,1.38
J1218+0830,1.45,1.44
J1250+0523,1.13,1.11
J1251−0208,0.84,0.85
J1402+6321,1.35,1.36
J1403+0006,0.83,0.83
J1416+5136,1.37,1.36
J1420+6019,1.04,1.07
J1430+4105,1.52,1.46
J1432+6317,1.26,1.25
J1436−0000,1.12,1.08
J1443+0304,0.81,0.78
J1451−0239,1.04,1.03
J1525+3327,1.31,1.30
J1531−0105,1.71,1.71
J1538+5817,1.00,0.99
J1621+3931,1.29,1.29
J1627−0053,1.23,1.22
J1630+4520,1.78,1.78
J1636+4707,1.09,1.08
J2238−0754,1.27,1.28
J2300+0022,1.24,1.21
J2303+1422,1.62,1.60
J2321−0939,1.60,1.60
J2341+0000,1.44,1.47
