,GAMA_ID,ID,RA,DEC,MAC_SCORE,ZOO_SCORE
124,517068,3063.0,130.59385,2.46237,4.0,0.13720858806231864
151,165409,3098.0,181.19655,-2.72003,38.0,0.0595425792610996
158,124486,2553.0,179.72998,-2.51919,28.0,0.42619047744921645
166,165871,2803.0,183.70237,-2.78805,18.0,0.28270118900935587
168,164145,2805.0,176.55308,-2.77562,16.0,0.09226486392128255
170,271500,2496.0,174.51145,1.34984,16.0,0.13935688253804862
293,271500,375.0,174.51145,1.34984,4.0,0.13935688253804862
300,136604,1642.0,175.87349,-1.74167,58.0,0.31645069407057624
389,618600,613.0,216.26346,0.26191,4.0,0.011409563575673114
393,106569,1524.0,216.66542,0.84988,4.0,0.17893278531526766
404,592737,383.0,213.84648,-0.03484,4.0,0.15517145338066576
