,GAMA_ID,RA,DEC,score,z,magphys_mstar,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,m_half_re,sigma_star,D_lens,theta_e_pm,theta_e_sis
0,3899011.0,131.33397,-0.91563,64.0,0.4027000069618225,329399992320.0,11.973738,941320960000.0,0.09760773,1019917040000.0,356.9113032565881,1067.222694112011,1.9707878635609994,1.841046340506362
1,376338.0,132.98734,1.50468,30.0,0.3271999955177307,303399993344.0,11.761424,577329900000.0,0.11643686,553570300000.0,311.100103687379,932.9244447715706,1.5529165336412547,1.398763939679413
2,323152.0,130.54643000000002,1.64325,30.0,0.7215999960899353,827700019200.0,,,,,,1441.0035439709247,,
3,663364.0,140.35284,-0.97414,28.0,0.3221000134944916,268800000000.0,11.644128,440684580000.0,0.10400116,394959420000.0,288.3632596844177,923.0215102104495,1.3187282484832306,1.201777221872802
4,3629152.0,135.88863999999998,-0.97487,26.0,0.4059000015258789,212900003840.0,11.630485,427055740000.0,0.11205658,379750550000.0,285.8289166230564,1072.4363604924038,1.199633056104172,1.1807458893789762
5,3575500.0,129.23265,-1.57512,26.0,0.36520001292228704,320900005888.0,11.76089,576620400000.0,0.12145566,552720000000.0,310.9926250010055,1003.3076184460061,1.4963064544145637,1.397797618294254
6,197972.0,137.85838,-0.7528,24.0,0.33730000257492065,355100000256.0,11.73526,543575670000.0,0.10775461,513414000000.0,305.8778739783026,952.2104702800649,1.480308957779425,1.3521978522009244
7,3883690.0,134.57492,-1.55142,22.0,0.2480999976396561,136200003584.0,11.299067,199097840000.0,0.12134916,146293780000.0,230.6628758365791,766.0240884543008,0.8810016699792476,0.7689525131402634
8,3911769.0,138.66089,-1.11639,20.0,0.2793999910354614,173999996928.0,11.609491,406903420000.0,0.11712222,357484200000.0,281.97270297062755,835.5811965657233,1.3186183006714889,1.1491011275951228
9,371400.0,131.20438,1.00064,18.0,0.2948000133037567,202099998720.0,11.561134,364027600000.0,0.12959115,311035920000.0,273.28685629090586,868.0728920035416,1.206735752579854,1.079397991406033
10,204703.0,139.07321000000002,-0.40157,18.0,0.3179999887943268,274200002560.0,11.903395,800561500000.0,0.11348513,832982900000.0,341.0310406198477,914.9790367999548,1.9235233617699403,1.6808615254112647
11,279505.0,137.68558000000002,1.05648,18.0,0.2263000011444092,129800003584.0,11.393498,247456250000.0,0.11016784,191984300000.0,245.1958181746285,714.638078269963,1.0449001610937552,0.8689008736606179
12,386188.0,130.0474,2.10251,18.0,0.3598000109195709,241499996160.0,11.552518,356876450000.0,0.12606421,303417100000.0,271.7675052916525,993.6614163370494,1.114001597314145,1.0674294272813099
13,3599660.0,129.29506,-0.99631,18.0,0.3813999891281128,194599993344.0,11.728365,535013750000.0,0.11273422,503325430000.0,304.51630386896824,1031.5673962323804,1.4081879661765104,1.3401864279399036
14,3882191.0,133.69397,-1.36032,54.0,0.3555999994277954,393299984384.0,12.000241,1000555740000.0,0.11094523,1100764200000.0,363.08457744970315,986.0790722441018,2.1299836341683998,1.905283997887465
15,345423.0,129.35904,1.94427,42.0,0.39579999446868896,379200012288.0,11.855222,716509150000.0,0.100286014,725136640000.0,330.56533530203046,1055.8549303145815,1.6706781146006209,1.5792785423653577
16,231282.0,183.07338,1.88558,58.0,0.3813999891281128,343099998208.0,11.847535,703939150000.0,0.1061225,709270000000.0,328.92536745367585,1031.5673962323804,1.6716369546500716,1.5636474932728595
17,561459.0,183.60019,-0.53509,42.0,0.24789999425411224,226399993856.0,11.609846,407235950000.0,0.11019049,357849430000.0,282.03743584429316,765.5638958979188,1.3783021209331352,1.1496287897101367
18,165409.0,181.19672,-2.7200900000000003,38.0,0.019600000232458115,26410000384.0,10.708161,51069470000.0,0.12239568,26705110000.0,160.07048929255225,77.78679209289604,1.1812157855783199,0.37031104090584294
19,173045.0,185.64714,-2.42117,36.0,0.2556000053882599,82070003712.0,11.285764,193091760000.0,0.1122308,140798300000.0,228.68601880100627,783.134142525733,0.8548021664202753,0.755828639077555
20,584826.0,180.41615,-0.20731,32.0,0.2494000047445297,217700007936.0,11.723951,529604120000.0,0.118108496,496971940000.0,303.64793356907717,769.010321475671,1.6206336659183969,1.332553872713185
21,98583.0,178.83655,0.8845700000000001,30.0,0.28279998898506165,154500005888.0,11.6866255,485987940000.0,0.19762002,446349000000.0,296.4024328011666,842.8502606994525,1.467057198359973,1.2697190740324036
22,583457.0,174.8049,-0.00257,28.0,0.2635999917984009,98730000384.0,11.010388,102420850000.0,0.1642466,63735020000.0,191.3635116454611,801.0732777790381,0.5686406723914252,0.529251843988937
23,231281.0,183.06471,1.91352,28.0,0.4004000127315521,376099995648.0,11.759027,574151500000.0,0.10986331,549763400000.0,310.6178810500984,1063.4526245075685,1.4494854102471046,1.3944309750845916
24,124486.0,179.73003,-2.51895,28.0,0.14350000023841858,85409996800.0,11.169208,147641200000.0,0.11499926,100670490000.0,218.4730245122017,494.90673441642036,0.9092313806610179,0.6898263157519524
25,186586.0,185.1191,-1.5125,26.0,0.28189998865127563,180999995392.0,11.476238,299390660000.0,0.10420254,243607400000.0,258.6800579170069,840.9314188487753,1.0850504800697383,0.9670969528839465
26,125077.0,182.40587,-2.63013,26.0,0.3416000008583069,146000003072.0,11.46526,291917100000.0,0.120463856,236029940000.0,256.84903057178775,960.2918769108811,0.9994634884568998,0.9534545107189728
27,145278.0,183.83234,-1.41031,24.0,0.19830000400543213,215899996160.0,11.67563,473837700000.0,0.112122715,432443820000.0,307.45352449330824,644.86020146901,1.6508858528602366,1.3661647260284033
28,561967.0,185.57948,-0.56586,22.0,0.4584000110626221,336700014592.0,11.838263,689068800000.0,0.10802762,690591000000.0,326.95785931877623,1152.9296743360796,1.5602494719118678,1.5449971350779954
29,41064.0,184.11784,-0.80592,22.0,0.34860000014305115,157400006656.0,11.56971,371287030000.0,0.11488534,318808520000.0,274.8074159091279,973.284915437159,1.1537984761265105,1.0914428812384724
30,165871.0,183.70247,-2.78789,18.0,0.10890000313520433,88500002816.0,11.1943865,156453930000.0,0.13748157,108237005000.0,222.21595447902777,390.16532490313324,1.0618142278716716,0.7136653142708022
31,585328.0,182.36838,-0.00889,18.0,0.20469999313354487,134699999232.0,11.414567,259756830000.0,0.0822946,203986490000.0,248.56119169289002,661.1971066619947,1.1197478390580944,0.8929163200339579
32,136604.0,175.87355,-1.74164,58.0,0.10599999874830246,286600003584.0,11.663817,461123650000.0,0.11353671,417988580000.0,305.0131034266703,381.00414184734876,2.11155483379665,1.3445628578732893
33,49576.0,221.51454,-0.6712899999999999,58.0,0.28760001063346863,371599998976.0,11.83946,690971900000.0,0.10758445,692975900000.0,327.21135256083903,853.0197945127562,1.8170400755354135,1.5473937629305945
34,15790.0,216.7776,0.7208,42.0,0.295199990272522,120400003072.0,11.436558,273248490000.0,0.3240164,217315080000.0,252.12315405017145,868.902117418477,1.0081949665450343,0.9186912476616731
35,568617.0,215.70692000000003,-0.55323,36.0,0.4526999890804291,316300001280.0,11.738238,547316240000.0,0.10617532,517834000000.0,306.46788502974357,1144.6340725588693,1.3559602699652484,1.3574194206642984
36,619609.0,220.63545,0.29188000000000003,32.0,0.20749999582767487,189099999232.0,11.566906,368897720000.0,0.1043033,316246070000.0,274.30932910782445,668.2711773956088,1.3868235573961543,1.0874899993580869
37,568366.0,214.82709,-0.42031,28.0,0.2651000022888184,113499996160.0,11.388451,244596720000.0,0.09921782,189215180000.0,244.39629991569632,804.4015675952851,0.9777471050622426,0.8632436034871512
38,569270.0,218.5273,-0.4848,26.0,0.3384000062942505,173900005376.0,11.483687,304570200000.0,0.11323866,248886850000.0,259.9298543599247,954.2851125349964,1.0295486761615105,0.9764644639202751
39,64911.0,220.62912000000003,-0.39809,26.0,0.3700999915599823,213999992832.0,11.716685,520817180000.0,0.10880622,486686520000.0,302.22373602968923,1011.9618902739105,1.3980657045049938,1.3200830532394392
40,249703.0,212.6116,2.14905,22.0,0.4672999978065491,549399986176.0,12.005506,1012757700000.0,0.10231734,1117569700000.0,364.3233944809924,1165.6756655232473,1.9739377297790548,1.9183075466260957
41,298994.0,222.77661,1.19268,22.0,0.3910000026226044,293300011008.0,11.906363,806051050000.0,0.11566881,840128800000.0,341.68654432305067,1047.8444943374416,1.8051343409211498,1.687329381596544
42,107432.0,219.88698,0.8993899999999999,20.0,0.3127000033855438,429900005376.0,11.880125,758796000000.0,0.113420025,779020660000.0,335.93490652359674,904.4743060703986,1.870946599971434,1.6310015814114014
43,92918.0,217.90807,0.4978,18.0,0.4061999917030335,403299991552.0,11.795862,624974360000.0,0.115291566,611252200000.0,318.1099689350213,1072.9232462676096,1.5216363476627353,1.462509427908432
44,92606.0,216.96487,0.48495,18.0,0.3819000124931336,445200007168.0,11.984829,965670500000.0,0.10780517,1053001250000.0,359.4818228046739,1032.423718965776,2.0359657033186216,1.8676607256181492
45,544226.0,214.42336,-0.8924700000000001,18.0,0.2269999980926513,73400000512.0,11.285226,192852770000.0,0.11088524,140580490000.0,228.6064465867536,716.3271760393059,0.8930829643607867,0.7553027433955115
46,250289.0,214.36708,1.99311,28.0,0.4009000062942505,189400006656.0,11.668818,466464370000.0,0.100728765,424048720000.0,293.0069981823413,1064.2738208502703,1.2725245846721405,1.2407951928521588
