,GAMA_ID,RA,DEC
0,198082,138.2815,-0.66673
1,202448,129.69546,-0.38179
2,204140,136.63883,-0.35203
3,209222,132.36771000000002,0.1636
4,209295,132.61013,0.11972000000000001
5,279956,140.14186999999998,0.97341
6,301818,135.32929,1.22984
7,302719,138.94058,1.33144
8,371208,130.50925,1.02071
9,377486,137.90642,1.62916
10,383284,140.6575,2.1373599999999997
11,388201,138.99892,2.5142900000000004
12,417645,132.51888,2.29438
13,573657,129.41362,-0.01039
14,575653,140.77658,-0.11463
15,663372,140.42683,-1.0920100000000001
16,905359,139.63437,-0.60728
17,3626956,134.23367,-0.80412
18,3632403,138.10708,-0.95852
19,3909630,137.37821,-1.17997
20,7242,176.29228999999995,0.73915
21,22278,176.96358,1.2031
22,22559,178.05237,1.05246
23,71072,182.90017,0.17959
24,98399,177.78321,0.9194899999999999
25,99508,183.13442,1.00244
26,131725,182.36783,-2.2404599999999997
27,136800,176.05286999999996,-1.7745900000000001
28,231043,182.16688,1.9984
29,273903,185.65375,1.33724
30,289278,181.64301,1.7412299999999998
31,560475,180.41128999999998,-0.48253999999999997
32,560853,181.98808,-0.52788
33,583469,175.01863,-0.14991
34,586392,184.62887,-0.18264
35,586648,185.72429,-0.20906
36,14983,213.6345,0.74998
37,65298,222.49875,-0.40713
38,77892,215.20808,0.17706
39,106821,217.327,0.86711
40,250209,214.17046000000002,2.07386
41,319416,214.38537999999997,1.9114
42,460463,212.48057999999997,-1.6174600000000001
43,460713,213.41046,-1.64736
44,485756,217.11896000000002,-1.79492
45,508116,215.95117000000002,-1.6813099999999999
46,617535,211.95117000000002,0.23064
