,Unnamed: 0,GAMA_ID,RA,DEC,score,z,magphys_mstar,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,m_half_re,sigma_star,D_lens,theta_e_pm,theta_e_sis
0,0,485873,217.75015,-1.80042,0.3494560281571705,0.05389999970793724,49080000512.0,11.043426,110516100000.0,0.12955473,70093000000.0,200.6982971361245,205.52466438853733,1.177308642119293,0.5821454282769701
1,1,84050,175.79849,0.47814,0.3657584981836216,0.11900000274181365,54710001664.0,11.056287,113837880000.0,0.1448094,72736300000.0,202.44732188248528,421.6002019337523,0.837356139913701,0.5923360813011707
2,2,55245,181.07958,-0.31553000000000003,0.3140544819767729,0.09359999746084212,127400001536.0,11.350592,224177300000.0,0.17274971,169680620000.0,246.9126571545939,341.13609228367636,1.4217959594970684,0.8811114039649388
3,3,70282,179.40308000000005,0.12562,0.6553523393711983,0.10740000009536743,42560000000.0,10.978367,95140815000.0,0.12370930599999999,58123430000.0,192.07971025718155,385.43439282487196,0.7828623279225411,0.5332208216626605
4,4,185451,180.28326,-1.61006,0.30298456848615074,0.1079000011086464,82219999232.0,11.192692,155844600000.0,0.11431438,107710340000.0,221.96203189847603,387.01317989024625,1.0635326495361306,0.7120352584764148
5,5,124486,179.72998,-2.51919,0.4261904774492165,0.14350000023841858,85409996800.0,11.169208,147641200000.0,0.11499926,100670490000.0,218.4730245122017,494.90673441642036,0.909231380661018,0.6898263157519524
6,6,593852,218.0782,-0.03958,0.386318244376966,0.13079999387264252,225100005376.0,11.554501,358509400000.0,0.103685714,305153500000.0,283.32745770719896,457.41814662674034,1.6465976183335629,1.1601695035672426
7,7,93310,219.92276,0.50731,0.575139057325562,0.13770000636577606,30940000256.0,10.9893465,97576790000.0,0.116851784,59989580000.0,193.50782419479373,477.92032533600286,0.7142416082655982,0.54117929854034
8,8,136604,175.87349,-1.74167,0.31645069407057624,0.10599999874830246,286600003584.0,11.663817,461123650000.0,0.11353671,417988580000.0,305.0131034266703,381.00414184734876,2.11155483379665,1.344562857873289
9,9,600421,135.49058,0.28417,0.4201886208185716,0.05649999901652336,26210000896.0,10.758239999999999,57311230000.0,0.13436121,30845538000.0,165.57098982735337,214.7943614469323,0.7639584515349196,0.3961982985375413
10,10,574423,135.75994,-0.20038,0.4643369877716501,0.053599998354911804,50789998592.0,11.045467,111036916000.0,0.11912945,70506136000.0,200.974957371643,204.45144888182568,1.1838682399434488,0.5837514957008573
11,11,324764,137.20387,1.72633,0.4227567639279565,0.10440000146627426,46470000640.0,11.063084,115633500000.0,0.106676385,74173240000.0,203.3777841575919,375.92354137520414,0.8954861852033541,0.5977934311604237
12,12,342699,216.90174,2.1325,0.4570880393017274,0.08760000020265579,28450000896.0,10.787631,61324080000.0,0.12598418,33568465000.0,168.88687247604878,321.43239381912963,0.6514872306095115,0.4122264957616655
