SDSS_ID,theta_e_sie
SDSS J0151+0049,0.676
SDSS J0747+5055,0.754
SDSS J0747+4448,0.61
SDSS J0801+4727,0.491
SDSS J0830+5116,1.142
SDSS J0944-0147,0.725
SDSS J1159-0007,0.683
SDSS J1215+0047,1.368
SDSS J1221+3806,0.699
SDSS J1234-0241,0.533
SDSS J1318-0104,0.679
SDSS J1337+3620,1.386
SDSS J1349+3612,0.75
SDSS J1352+3216,1.823
SDSS J1522+2910,0.736
SDSS J1541+1812,0.64
SDSS J1542+1629,1.042
SDSS J1545+2748,1.21
SDSS J1601+2138,0.858
SDSS J1611+1705,0.58
SDSS J1631+1854,1.634
SDSS J1637+1439,0.65
SDSS J2122+0409,1.58
SDSS J2125+0411,1.204
SDSS J2303+0037,1.016
