,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,theta_e,z_ratio,max_total_mass,max_stellar_mass_salpeter,max_stellar_mass_chabrier,theta_e_chabrier
0,0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,0.5146810773892407,1.9693251533742333,165579113924.05066,114249588607.59496,64575854430.37976,0.6845898301857408
1,1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,,1.7655502392344498,482006250000.0,332584312500.0,187982437500.0,
2,2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,0.5727918204001,1.5921985815602842,379095808383.2334,261576107784.43106,147847365269.46106,0.7618843440846563
3,3,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295,84560003072.0,0.6165422296991775,1.9424920127795529,322549152542.3729,222558915254.2373,125794169491.52545,0.8200778285324258
4,4,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486,,,1.9763313609467457,171048484848.48486,118023454545.45454,66708909090.9091,
5,5,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201,36470001664.0,0.5287547861372022,1.7904191616766467,189140151515.1515,130506704545.45453,73764659090.90909,0.7033096127950479
6,6,129.41362,-0.01039,0.27399999999999997,0.657,PG+ELG,573657,,,2.397810218978102,235010443864.2297,162157206266.31848,91654073107.0496,
7,7,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242,,,1.2136105860113422,1502734513274.337,1036886814159.2924,586066460176.9915,
8,8,177.78321,0.9194899999999999,0.4,0.569,PG+ELG,98399,,,1.4225,673372781065.089,464627218934.9114,262615384615.3847,
9,9,176.05286999999996,-1.7745900000000001,0.264,0.589,PG+ELG,136800,86619996160.0,0.7245768157323821,2.231060606060606,239224615384.61545,165064984615.38464,93297600000.00003,0.9637772613575512
10,10,182.7435,1.5978700000000001,0.289,0.361,PG+ELG,220682,112999997440.0,0.4755500446485978,1.249134948096886,724506944444.4442,499909791666.6664,282557708333.33325,0.6325406909502416
11,11,183.53083,1.55306,0.266,0.327,PG+ELG,220854,53719998464.0,0.3305304711875315,1.2293233082706767,712967213114.7542,491947377049.1803,278057213114.7541,0.43964662600244914
12,12,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,,1.912442396313364,227411616161.6161,156914015151.51514,88690530303.0303,
13,13,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,,2.3843537414965987,253186732186.7321,174698845208.84515,98742825552.82556,
14,14,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,0.8773876938414248,2.378980891719745,270852193995.3811,186888013856.81296,105632355658.19864,1.1670347302854158
15,15,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,0.7286773302834573,1.934065934065934,282635294117.6471,195018352941.17648,110227764705.88237,0.969231455582904
16,16,215.97478999999998,0.67592,0.142,0.22699999999999998,PG+ELG,15554,18350000128.0,0.3745964712600782,1.5985915492957747,189611764705.88232,130832117647.0588,73948588235.29411,0.4982598854206013
17,17,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,0.7975092678817675,2.565217391304348,207319444444.4445,143050416666.66666,80854583333.33334,1.0607864913942278
18,18,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,0.5243808673902559,1.962025316455696,322236842105.2632,222343421052.6316,125672368421.05264,0.6974917569931459
19,19,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,0.3547804953737209,2.825,123835616438.35616,85446575342.46574,48295890410.9589,0.47190217350350544
20,20,218.13475,1.68924,0.109,0.192,PG+ELG,320384,5746999808.0,0.25709229330108874,1.7614678899082568,126072289156.6265,86989879518.07228,49168192771.084335,0.3419647178517667
21,21,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756,24689999872.0,0.29823175870763025,1.5018587360594795,402503703703.7036,277727555555.5555,156976444444.44446,0.3966853222685033
22,22,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116,27910000640.0,0.3678461502765504,1.5099009900990097,299077669902.9125,206363592233.0096,116640291262.13585,0.48928111915382133
